,z_top,Vp,Vp_grad,Vs,Vs_grad,rho,rho_grad,Qp,Qs
0,-2000.0,2900.0,0.0,1670.0,0.0,2100.0,0.0,50.0,50.0
1,0.0,3000.0,0.0,1900.0,0.0,2100.0,0.0,50.0,50.0
2,1000.0,5600.0,0.0,3150.0,0.0,2100.0,0.0,50.0,50.0
3,2000.0,5700.0,0.0,3210.0,0.0,2400.0,0.0,200.0,200.0
4,3000.0,5800.0,0.0,3260.0,0.0,2400.0,0.0,200.0,200.0
5,4000.0,5900.0,0.0,3410.0,0.0,2700.0,0.0,600.0,400.0
6,5000.0,5950.0,0.0,3420.0,0.0,2700.0,0.0,600.0,400.0
7,6000.0,6050.0,0.0,3440.0,0.0,2700.0,0.0,600.0,400.0
8,8000.0,6100.0,0.0,3480.0,0.0,2700.0,0.0,600.0,400.0
9,10000.0,6150.0,0.0,3560.0,0.0,2700.0,0.0,600.0,400.0
10,12000.0,6200.0,0.0,3590.0,0.0,2700.0,0.0,600.0,400.0
11,14000.0,6250.0,0.0,3610.0,0.0,2900.0,0.0,1431.848,600.0
12,15000.0,6300.0,0.0,3630.0,0.0,2900.0,0.0,1431.848,600.0
13,20000.0,6400.0,0.0,3660.0,0.0,2900.0,0.0,1431.848,600.0
14,22000.0,6500.0,0.0,3780.0,0.0,2900.0,0.0,1431.848,600.0
15,25000.0,6700.0,0.0,3850.0,0.0,3100.0,0.0,1458.0,600.0
16,32000.0,8000.0,0.0,4650.0,0.0,3100.0,0.0,1458.0,600.0
17,77000.0,8045.0,0.0,4650.0,0.0,3500.8792,0.0,1445.044,600.0
